Region,Country,Year,"Workers enjoying special protection","General remarks"
Europe,Belgium,2019,"pregnant women and/or women on maternity leave","* Pregnant women: prohibition of dismissal (art. 40 LA).<br/>* Workers&apos; representatives: see Act of 19 March 1991 establishing specific dismissal rules and procedures for workers&apos;   representatives on works councils and health, safety and working conditions committees.<br/><br/>* Prevention advisers<br/>The law also provides for special procedures concerning termination of employment of &quot;Prevention advisers&quot; (&quot;conseillers en prévention&quot;) in charge of prevention and protection at work. See: Act of 20 December 2002 on the protection of prevention advisers (&quot;Loi du 20 décembre 2002 portant protection des conseillers en prévention&quot;)<br/><br/>*Other categories of workers who benefit from special protection against termination of employment, see list:<br/>http://www.emploi.belgique.be/defaultTab.aspx?id=42149 <br/><br/>- protection en faveur du père qui fait usage de son congé de paternité <br/>- protection en faveur du parent adoptif <br/>- protection en  faveur du médecin du travail <br/>- protection en faveur de certains mandataires politiques<br/>- protection en faveur du travailleur qui a obtenu un crédit-temps<br/>- protection en faveur du travailleur qui a obtenu une interruption de carrière <br/>- protection en faveur du travailleur qui a obtenu un congé éducation-payé<br/>- protection en faveur du travailleur ayant formulé certaines observations au sujet de modifications apportées au règlement de travail<br/>- protection en faveur du travailleur qui a déposé une plainte dans le cadre de la réglementation en matière d’égalité de traitement entre hommes et femmes; la réglementation relative à la violence ou le harcèlement moral ou sexuel au travail; la réglementation en matière de racisme et de xénophobie; la réglementation ayant trait à certaines formes de discrimination."
Africa,"Burkina Faso",2019,,"Art. 314 LC<br/>Art. 147 LC: prohibition to dismiss women on maternity leave."
Europe,Bulgaria,2019,,"Art. 333 (1), (3), (5), (6) LC<br/> * Art. 333 (1) LC lists the categories of workers for which dismissal can only take place after consent of the labour inspectorate has been obtained: mothers of children under 3 years or spouses of persons who have entered their regular military service, employees reassigned due to health reasons, employees suffering from certain diseases, employees on permitted leave.<br/><br/>* Protection for trade union representatives is provided in art. 333 (1) LC. Prior consent of the trade union is required when dismissal is based on certain grounds (partial closing down of the entreprise or staff cuts, reduction of the volume of work, lack of qualities for efficient work performance, lack of qualifications following changes in the requirement, disciplinary dismissals).<br/><br/>*Pregnant women can only be discharged under certain grounds such as &quot;force majeure&quot;, closing down of the enterprise, refusal to follow the enterprise in the case of relocation. Prior consent of the labour inspectorate is required for disciplinary dismissal (art. 333 (5) LC).<br/>A women on maternity leave can only be dismissed when the enterprise is closing down (art. 333 (6) LC)."
Americas,Bolivia,2019,"pregnant women and/or women on maternity leave","Article 14 of the Constitution: General provision against discrimination<br/><br/>Trade union leaders: Under Art. 14 of the Bolivian Constitution, with respect to trade union membership and activities, only the leaders of workers&apos; organizations are protected; they cannot be dismissed without prior authorization from the Labour Court. (Art. 2 of the Legislative Decree No. 37 of 7 February 1944).<br/><br/>Maternity protection: Article 61 of the Labour Code; Supreme Decree No. 12 of 19 February 2009<br/><br/>Protection of workers with disabilities (and their family members, under certain conditions): Supreme Decree No 27477, of 6 May 2004"
Americas,Brazil,2019,,"- The Constitution prohibits the dismissal of a unionized employee, except on account of a serious misconduct from the moment he or she registers as a candidate for a leadership or representative position in the trade union and for one year thereafter (art. 8(VIII), Constitution). If the Court declares the dismissal unjustified, such category of employee has the right to reinstatement.<br/>- The Constitution also prohibits arbitrary dismissal or dismissal without cause of Workers&apos; representatives on the Internal Accident Prevention Commission from the date of registration as a candidate until one year after the end of his or her term of office (art. 10(IIa), Constitution, Transitional Provisions). The CLL also provides that if the employer fails to prove the existence of disciplinary, technical, economic or financial reasons before the Court, those employees shall be reinstated (art. 165 CLL).<br/>- Pregnant workers also enjoy job stability and can therefore not be dismissed except for serious reasons from the date the pregnancy is confirmed until five months after confinement.<br/> (art. 10(IIa) Constitution, Transitional Provisions).<br/>- Security of employment is guaranteed through reinstatement to employees who, because of an employment accident or occupational disease, were obliged to suspend the employment relationship (Act No. 8213 of 24 July 1991)."
Africa,Botswana,2018,,"Sec. 23(b) of the EA provides that an employer may not terminate the employment contract of an employee seeking office, as or acting or having acted in the capacity of an employees&apos; representative;<br/><br/>Sec. 116 EA. prohibits the  dismissal of employees during maternity leave, and/or during leave of absence a longer period due to illness related to pregnancy or childbirth.<br/>"
Americas,"Canada (Federal only)",2019,,"No statutory provision found in the legislation reviewed."
Africa,"Congo, Democratic Republic",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers on temporary leave following an occupational disease or a work injury","- Workers&apos; representatives: <br/>Mandatory approval by the Labour Inspector is required for any dismissal of a workers&apos; representative ( full or alternate member): see Art. 258 LC.<br/>In addition, if such approval is granted, the notice period is twice the statutory notice period and cannot be less than 3 months.<br/><br/>- Pregnant women /women on maternity leave: no special protection for pregnant women during the entire period of pregnancy (other than the prohibition of dismissal on the ground of pregnancy). However, dismissal is &quot;per se&quot; prohibited during maternity leave: Art. 130 LC."
Africa,"Central African Republic",2019,,"Art. 89 LC: Any dismissal of a workers&apos; representative is subject  to prior approval by the Labour Inspector.<br/>Art. 253 LC: An employee on maternity leave cannot be dismissed.<br/><br/>The LC provides that the employment contract is suspended in certain circumstances, such as:<br/>- the enterprise is temporarily closed down because the employer is performing compulsory military duties;<br/>- the worker is performing compulsory military duties;<br/>- absence of the employee as a consequence of a professional injury of disease.<br/>- absence of the worker not exceeding 6 months in the event of non-professional injury or disease.<br/>- absence during maternity leave<br/>- absence due to police custody or pre-trial detention<br/>- the worker is absent because he or she is holding an elected position or discharging a public function (art.133 LC).<br/>According to art. 152 LC, on &quot;abusive terminations&quot;,  it is unfair for the employer to refuse to reintegrate the employee upon the expiry of the suspension period."
Europe,Switzerland,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, confirmed injured workers","*No dismissal of pregnant women and women on maternity leave: art. 336c (1) c) CO<br/>* Workers with an important length of tenure: higher protection with respect to severance allowance: art. 339b CO.<br/>* Workers&apos; representatives: constitutes an abusive termination the dismissal of an employee during the exercise of a mandate as employees&apos; representative unless the employer demonstrates a justified motive for dismissal: art. 336 (2) b) CO."
Africa,"Côte d'Ivoire",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers on temporary leave following an occupational disease or a work injury","Art. 61.8 LC : Autorisation préalable de l&apos;inspecteur du travail requise pour le licenciement d&apos;un délégué du personnel.<br/>Art. 51.8 LC: Autorisation préalable de l&apos;inspecteur du travail requise pour le licenciement d&apos;un travailleur membre du bureau d&apos;un syndicat professionnel.<br/>Art. 23.4 LC: Interdiction pour l&apos;employeur de résilier le contrat de travail d&apos;une salariée enceinte ou en congé de maternité<br/>______________<br/>In English:<br/>Art. 61.8 LC : prior authorization from the Labour Inspector required for the dismissal of worker&apos;s representatives.<br/>Art. 51.8 LC: prior authorization from the Labour Inspector required for the dismissal of trade union representatives.<br/>Art. 23.4 LC: prohibition to dismiss pregnant women and women on maternity leave."
Americas,Chile,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers on temporary leave following an occupational disease or a work injury","- Under the LC, some workers benefit from the &apos;fuero laboral&apos;, which is a form of special protection against termination of employment. According to art. 174 LC, dismissal of those protected workers is subject to judicial authorization which can only be granted on the grounds of the worker&apos;s conduct or upon expiry of the agreed term of the contract or completion of the service for which the contract was made (art. 159, 160 LC).<br/>Workers protected by the &apos;fuero laboral&apos; are: <br/>*Workers whose child/spouse/civil partner has died. They will enjoy the protection for one month after the death (article 66);<br/>* Workers who want to constitute a trade union in the company. They will be protected from 10 days prior to the constituent assembly until 30 days after (article 221);  <br/>*Candidates for a union director position. They will be protected since the election date is set until the election is completed (article 238);, <br/>* Union directors and directors of federations, confederations, and workers&apos; centrals during their terms of office and for six months thereafter (articles 224, 235, 243  and 274);<br/>* Employees involved in collective bargaining during the period starting 10 days before bargaining begins and ending 30 days after bargaining is completed (article 309); <br/>* Staff delegates during their terms of office and for six months thereafter (articles 229 and 243).<br/>* Pregnant women and working mothers up to one year after the end of the maternity leave (article 201);<br/>* Working father if he has taken parental leave (articles 197bis and 201);<br/>* Women and men who are single or widowed and they have expressed their wish to adopt a child according to the Adoption Act shall be entitled to one year&apos;s &quot;protection from the day of the judicial decision granting the child&apos; custody (article 201). <br/>- Art. 161 LC prohibits the dismissal grounded on economic reasons and the &quot;desahucio&quot; in the following cases:<br/>* Workers on sick leave<br/>* Workers on temporary work injury or illness leave<br/>"
Africa,Cameroon,2019,,"Art. 40 (7) and 130 LC : prior authorization by the labour administration for the dismissal of a workers&apos; representative.<br/><br/>Art. 84 LC : prohibition of dismissal only during maternity leave and not during the whole period of pregnancy. However, pregnancy cannot justify dismissal."
Asia,China,2017,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers on temporary leave following an occupational disease or a work injury","Under art. 42 ECL, it is prohibited to dismiss:<br/>(1) a worker who is engaged in operations exposing him to occupational disease hazards and has not undergone a pre-departure occupational health check-up, or is suspected of having contracted an occupational disease and is being diagnosed or under medical observation; <br/>(2) a worker who has been confirmed as having lost or partially lost his capacity to work due to an occupational disease contracted or a work-related injury sustained with the Employer <br/>(3) a worker  who has contracted an illness or sustained an injury, and the set period of medical care therefore has not expired;<br/>(4)  a female employee in her pregnancy, confinement or nursing period; <br/>(5) a worker who has been working for the Employer continuously for not less than 15 years and is less than 5 years away from his legal retirement age.<br/><br/>For worker&apos;s representatives, see art. 52 (2) of the Trade Union Law :<br/>If the labour contract of a worker or staff member is terminated due to his participation in trade union activities,  the administrative department for labour shall order that the victim be reinstated, his remuneration payable during the period of the termination of the labour contract be made up, or that a compensation two times the amount of his annual income be given.<br/>"
Americas,Colombia,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers on temporary leave following an occupational disease or a work injury","Workers during pregnancy, lactation or maternity leave: Article 239 of Labour Code provides that no worker may be fired during pregnancy or lactation without the prior authorization of the Ministry of Labor that guarantees a just cause. Dismissal is presumed due to pregnancy or lactation, when it has taken place during the pregnancy period and / or within three months after delivery. Workers who are dismissed without authorization from the competent authorities, shall be entitled to the additional payment of an indemnity equal to sixty (60) working days, apart from the indemnities and benefits that there be a place according to your employment contract. In the case of the working woman who for some exceptional reason does not enjoy the mandatory prepartum week, and / or some of the seventeen (17) weeks of rest, she will be entitled to the payment of the weeks that she did not have a leave. In the case of multiple births, she will have the right to pay two (2) additional weeks and, in the event that the child is premature, to pay the time difference between the date of delivery and the term birth<br/><br/>Members of trade unions have job stability: Articles 405 and 406 of Labour Code"
Americas,"Costa Rica",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers on temporary leave following an occupational disease or a work injury","See article 94 of Labour Code."
Americas,Cuba,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers on temporary leave following an occupational disease or a work injury","See above article 50 of Labour Code.<br/><br/><br/><br/>"
Europe,Cyprus,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","See: Maternity Protection Act (No. 100(I)/97, as amended in 2011), sec. 4: <br/>Prohibition to give notice for termination to pregnant women after the announcement of pregnancy and up until 3 months after the expiry of the maternity leave and to women on adoption leave. However, this  does not  apply  when the employed woman is found guilty of a serious offence or behaviour justifying termination of the employment relationship, when the undertaking ceases its activities, or when the contract period has come to an end (sec. 4B)<br/>"
Europe,Czechia,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","Sec. 53 (1) LC establishes a prohibition of notice during a &quot;protection period&quot;. That applies to:<br/>* pregnancy <br/>* maternity and parental leave<br/>* recognized temporary inability to work due to illness or injury<br/>* military obligations<br/>* unpaid leave to exercise of a public office<br/>* night workers temporary unfit<br/>Note that except for pregnant women and employee on maternity or parental leave, the protection is not absolute (sec. 54 LC)<br/>Sec. 61 (2) LC: Special protection for trade union&apos;s representatives: mandatory consent of the trade union prior to dismissal."
Europe,Germany,2017,"workers&apos; representatives, pregnant women and/or women on maternity leave, confirmed injured workers, older workers/workers on the verge of retirement, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","- Pregnant women : sec. 17  Federal Act on Maternity Protection (2002, as amended in May 2017): prohibition of dismissal during pregnancy and up to 4 months after childbirth).<br/>- Maternity /parental leave: sec. 18 of the Federal Parenting Benefits and Parental Leave Act (2007, as amended in May 2017) <br/>- Disabled workers: sec. 85 Social Code, book IX: or consent of the integration office required.<br/>- Worker&apos;s representatives: sec. 15 PADA.<br/>Prohibition of dismissal except in case of serious misconduct (good cause)."
Europe,Denmark,2017,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","- See art . 7 ESEA and the Consolidation Act on Equal treatment of Men and Women as regards Access to Employment, 28 June 2006 that lays down special rules of the burden of proof in cases were an employee is dismissed during pregnancy, adoption or maternity.<br/><br/>"
Africa,Algeria,2019,"workers on temporary leave following an occupational disease or a work injury, nationals","No statutory provision found in the legislation reviewed."
Americas,Ecuador,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","Articles 153 provides that the employment contract cannot be terminated due to the pregnancy of the working woman and the employer cannot definitively replace her within the twelve-week period after the labour.<br/><br/>Article 174 provides special protection against termination of employment to: 1. For temporary incapacity for work due to the worker&apos;s non-professional illness, as long as it does not exceed one year; 2. In the event of absence motivated by military service or the exercise of compulsory public office; 3. Due to the absence of the worker based on the maternity or paternity leave, due to childbirth, is indicated in article 153 of this Code, without prejudice to the provisions of number 1.<br/><br/>Articles 153 provides that the employment contract cannot be terminated due to the pregnancy of the working woman and the employer cannot definitively replace her within the twelve-week period after the labour.<br/><br/>Article 174 provides special protection against termination of employment to: 1. For temporary incapacity for work due to the worker&apos;s non-professional illness, as long as it does not exceed one year; 2. In the event of absence motivated by military service or the exercise of compulsory public office; 3. Due to the absence of the worker based on the maternity or paternity leave, due to childbirth, is indicated in article 153 of this Code, without prejudice to the provisions of number 1.<br/><br/>In addition, article 452 provides that, except in the cases of article 172, the employer may not dismiss any of its workers, from the moment they notify the respective labour inspector that they have met in general assembly to form a union or works council, or any other workers&apos; association, until the first directive is integrated. This prohibition covers all workers who have or have not attended the constituent assembly.<br/>"
Europe,Estonia,2017,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","- Pregnant women and workers with family responsibilities:<br/>Art. 93 ECA prohibits the employer from making redundant a pregnant woman or a woman who has the right to pregnancy and maternity leave or a person who is on parental leave or on adoption leave, except in the event of cessation of activities or bankruptcy.<br/>In addition, its is prohibited to dismiss a pregnant woman or a woman who has the right to pregnancy and maternity leave due to a decrease of the employee&apos;s capacity for work.<br/>These prohibitions only apply if the employee has notified the employer of her pregnancy or the right to pregnancy and maternity leave before receipt of a cancellation notice or within 14 days thereafter.<br/><br/>- Workers&apos; representatives: <br/>Art. 94 ECA provides that before terminating an employment contract with the employees&apos; representative, an employer must seek the opinions of the trade union or the employees who elected him/her the person to represent them or the trade union. The employer is required to take that opinion reasonably into account and to provide justification if he/she disregards the employees&apos; opinion."
Africa,Egypt,2017,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","- Not all the workers&apos; representatives are protected. The Trade Unions Act No. 35/1976 (as amended) only protects members of the trade union boards from suspension or dismissal, except pursuant to a court decision (Art. 46).<br/><br/>- The employer cannot dismiss a woman during maternity leave (Article 92, LL).<br/><br/>- While the worker&apos;s total incapacity entails termination of the employment relationship; if the incapacity is partial, the employment relationship shall not be terminated unless it is demonstrated that there is no other available work which can be satisfactorily performed by the employee (art. 124 LL)."
Europe,Spain,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, confirmed injured workers","1) Workers&apos; and trade union representatives:<br/>- According to art. 55(1) ET if the worker is a workers&apos; legal representative or a trade union representative, there will be formal adversarial procedures during which the worker and other members of the union to which he or she belongs, may be heard. If the worker is a member of a trade union and the employer is aware of this fact, representatives of the corresponding trade union must be heard in advance.<br/>- In addition, in the event of unfair dismissal of a workers&apos; representative, it is up to that employee to decide whether he or she wants to be reinstated or receive compensation, as opposed to the general rule according to which the choice is made by the employer (art. 56(4) ET).<br/>- Lastly, in the event of collective dismissal, the workers&apos; representatives have priority for remaining in the enterprise (art. 51(5) ET).<br/><br/>2) Royal Decree-Law 3/2012 has introduced the possibility to establish other priority rules through collective agreements, in order to protect people with family responsibilities, people with disabilities or people above certain age in case of collective dismissal (art. 51(5) ET)."
Africa,Ethiopia,2013,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","Art. 87 (5) LP: Prohibition to dismiss women workers during pregnancy and maternity leave (up 4 months after childbirth) except in case of serious misconduct (summary dismissal) and as a &quot;last resort&quot; in case of economic dismissal."
Europe,Finland,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","* Workers&apos; representatives:<br/>Sec. 10, chap. 7, ECA: Dismissal of a &quot;shop steward or elected representatives&quot; based on individual grounds requires the consent of the majority of the employees whom he represents.<br/>Economic dismissal of those representatives are authorized provided the job they occupy ceases completely and the employer has been unable to find another suitable job or to train the person for some other work.<br/><br/>* Pregnant women and employees on family leave:  sec. 9, chap. 7, ECA deems the dismissal to be based on employee&apos;s  pregnancy or family leave  and places the onus on the employer to prove that the dismissal is based on another reason.<br/>In addition, sec. 9, chap. 7 ECA states that the employer can terminate the employment relationship with employee on maternity, special maternity, parental or child care on economic grounds only in case of complete cessation of activities.<br/>"
Europe,France,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","*Workers&apos; representatives:<br/>- Trade union representatives and other worker&apos;s representatives: art. L 2411-1 LC<br/>- Worker&apos;s adviser: art. 1232-14 LC<br/>*Pregnant women and women on maternity leave, and new parents : art. L 1225-4 and L 1225-5 LC, employees on adoption leave: art 1225-38 LC. Art. L 1225-4 LC was amended to protect women also during the period of annual leave following the maternity leave, as well as for a period of 10 weeks following the maternity or annual leave. Further, all employees are protected during the first 10 weeks following the birth of their child (art. 1225-4-1 LC)."
Africa,Gabon,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, confirmed injured workers, older workers/workers on the verge of retirement, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","Art. 294 and Art. 170 LC."
Europe,"United Kingdom",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","No additional protection for specific category of workers besides the prohibition of dismissals based on the above-mentioned reasons."
