Region,Country,Year,No Limitation,General remarks,Max probationary (trial) period
Europe,United Kingdom,2019,,"The ERA does not regulate the probationary period as such. However, it provides for a &quot;qualifying period of employment&quot; which is comparable to the probationary period insofar as employees are excluded fiom the protection against unfair dismissal during that period of time (sec. 108) ERA. <br/><b><u>New as of  6 April 2012</b></u>: <br/>Sec. 108 ERA has been amended by the Unfair Dismissal and Statement of Reasons for Dismissal (Variation of Qualifying Period) Order 2012. As a result, <b>the qualifying period of employment has been extended from 1 year to 2 years.</b>",24.0 month(s)
Europe,Georgia,2019,,"Art. 9 Labour Code:<br/> 1. A labour agreement with an employee may be concluded only once for a trial period of no more than six months. A labour agreement for a trial period shall be concluded only in writing.<br/>2. The work during a trial period shall be payable. The amount of payment and the payment procedure shall be determined by the agreement of the parties.<br/>3. An employer may, at any time during the trial period, conclude a labour agreement with the employee or terminate the labour agreement for a trial period. <br/><br/>",6.0 month(s)
Africa,Ghana,2020,Y,No statutory maximum duration. The Labour Act refers to a &quot;reasonable duration&quot;. Probationary period is generally provided in collective agreement<br/><br/>*Art. 66 LA refers to workers serving a probation or qualifying period of employment of reasonable duration determined in advance.<br/>*Art. 98 d) LA : A collective agreement may include provisions on the period of probation and conditions on probation.,nan nan
Europe,Greece,2019,,"Since 2012: The first 12-month period of an employment contract of an indefinite duration  shall be deemed a probationary period during which the contract may be terminated without notice and without severance pay, unless otherwise agreed by the parties. Subparagraph IA. para.12. section 1 of Law 4093/2012)<br/>With regard to the dismissal of blue-collar workers for which no notice is required (see below), the severance pay requirements only applied to workers with at least two months of service.",12.0 month(s)
Americas,Guatemala,2019,,"Article 81 of Labour Code provides that In all indefinite period contracts, the first two months are considered trial period, unless by mutual convenience the parties agree to a shorter period. During the trial period, either party may terminate the contract, of their own free will, with or without just cause, without incurring any liability.<br/>The simulation of the trial period is prohibited, with the purpose of evading the recognition of the inalienable rights of the workers and those derived from the employment contract for an indefinite period. If one or more companies hire workers to provide their services to another company, the latter will be liable to the affected workers, in accordance with the law.",2.0 month(s)
Americas,Honduras,2019,,"Article 49.- The trial period, which cannot exceed sixty (60) days, is the initial stage of the employment contract, and is intended by the employer to assess the skills of the worker, and by him , the convenience of working conditions. This period will be remunerated, and if at the end of either party expresses its will to terminate the contract, it will continue indefinitely.<br/><br/>Article 50.-The trial period must be stipulated in writing, and otherwise, the services are understood to be regulated by the general rules of the employment contract. In the employment contract of the domestic workers, the first fifteen (15) days of service is presumed as a trial period.<br/><br/>Article 52.-During the trial period, either party may terminate the contract, of their own free will, with or without just cause, without incurring any liability. Workers in trial period enjoy all benefits, with the exception of pre-notice and severance pay. If a new contract is concluded between the same contracting parties and for the same type of work before one (1) year has elapsed, this shall be understood for an indefinite time, without in this case the trial period taking place.<br/>",60.0 day(s)
Europe,Hungary,2019,,"•Pursuant to sec. 45(5) LC, the trial period may not exceed 3 months from the date of commencement of the employment relationship. In the event that a shorter trial period has been stipulated, the parties may extend the trial period once. In either case, the duration of the trial period may not exceed three months. According to sec. 50(4) and 277(2) of the LC, a collective agreement may extend the term of the trial period, but it still may not exceed six months. Such an extension may be included in a works agreement as well provided that the employer is not covered by the collective agreement, or there is no trade union at the employer with entitlement to conclude a collective agreement (LC, sec. 268(1)).",3.0 month(s)
Asia,Indonesia,2019,,"Art. 60 MA. <br/>However, fixed-term contracts cannot stipulate a probation period (art. 58 (1) MA).",3.0 month(s)
Asia,India,2019,Y,"However, sec. 2 (a) MSO lists the following categories of workers (&quot;classification of workmen&quot;): <br/>  (1) permanent, <br/>  (2) probationers, <br/>  (3) badlis,<br/>  (4) temporary, <br/>  (5) casual, <br/>  (6) apprentices.<br/>A definition of a &quot;probationer&quot; given in the sec. 2(c) MSO states that a probationer is a worker employed to fill in a permanent vacancy and has not yet completed three months&apos; service therein.",nan nan
Asia,"Iran, Islamic Republic of",2010,,"See sec. 11 LC, Note 1:  &quot;The probationary period shall be specified in the employment contract. The maximum duration of probation shall be one month for unskilled and semi­skilled workers and three months for skilled and specialised workers&quot;.",3.0 month(s)
Europe,Italy,2019,,"The length of probationary periods is provided by collective bargaining agreements. However, Article 10 of Law No. 604 of 1966 provides for a maximum length of 6 months.",6.0 month(s)
Americas,Jamaica,2019,Y,"Section 3, subparagraph 4 of Employment (Termination and Redundancy) Act mentions the possibility of probationary period superior to 90 days.",nan nan
Arab States,Jordan,2019,,"Art. 35 LL:<br/>&quot;A. The employer may recruit any employee under probation to verify his/her qualifications and capabilities to carry out the required work provided that the probation period shall not exceed in any case three months and the wage of the employee under probation shall not be less than the minimum limit decided for wages.<br/>B. The employer may terminate the employment of the employee under probation without a notification or remuneration during the probation period. <br/>C. If the employee has continued working after the expiry period of the probation, the contract shall be considered as unlimited period work contract, and the probation period shall be considered within the period of service.&quot;<br/><br/>The ILO 2018 Guide to Jordanian Labour Law for Garment Industry adds in this respect that &quot;the probation period is not assumed, it must be agreed upon by both sides when signing the contract. The worker may not be put on probation more than once by the same employer.&quot;",3.0 month(s)
Asia,Japan,2019,Y,"Probationary periods are frequently used in practice. There is no statutory provision on the maximum duration of probationary periods.  In practice, three-month probationary periods are most commonly used and the majority of them are set with the duration of one to six months.  <br/><br/>In case of indefinite contracts, under the Japanese case law, probationary contracts have been considered as labour contracts in which the employer’s right of cancellation is reserved. The scope of employer&apos;s freedom to dismiss a worker based on such a reserved cancellation right should be recognized as broader than an ordinary dismissal. However, the exercise of the reserved cancellation right of the employer should be permitted only when, viewed in the light of the aims and objectives in reserving a cancellation right, the dismissal can be justified on the basis of objectively reasonable grounds and generally accepted norms. (See: Mitsubishi Jushi Case, Supreme Court (1973), SMS, Vol. 27, No. 11, p. 1536 as cited in Tadashi A. Hanami, Fumito Komiya, Ryuichi Yamakawa: &quot;Japan&quot;, in R. Blanpain (ed.): International encyclopaedia for labour law and industrial relations (The Hague, Kluwer Law International, 2015), p. 79)",nan nan
Europe,Kyrgyzstan,2019,,Art. 62 LC: The probationary period may not exceed 3 months for all workers and 6 months for high-level managers.,6.0 month(s)
Asia,Cambodia,2018,,"Sec. 68 LC: the probationary period cannot exceed three months for regular employees, two months for specialized workers and one month for non specialized workers.<br/>",3.0 month(s)
Africa,Comoros,2019,,Article 37 of the Labour Code. <br/>,6.0 month(s)
Asia,"Korea, Republic of",2019,,"Art. 16 ED-LSA (Definition of Probationary Worker): &quot;For the purposes of subparagraph 5 of Article 35 of the Act, the term “probationary worker” means a worker for whom less than three months have passed since the start of his/her probationary period.&quot;",3.0 month(s)
Europe,Kazakhstan,2019,,"Article 36 of the Labour Code<br/>For workers in executive positions and their deputies, accountants and their deputies, heads of branches and representative of the organizations – the probation may extent to six month period.",3.0 month(s)
Americas,Saint Lucia,2017,,"Section 130 Labour Act: (1) Subject to subsection (2), a new employee may be required to serve a probationary period of not more than twelve weeks or a shorter or longer period of time agreed to between the employer and the employee.",3.0 month(s)
Asia,Sri Lanka,2019,Y,No statutory limitation.,nan nan
Africa,Lesotho,2019,,"•Art. 75 LC <br/>General rule: probationary period cannot exceed 4 months during which the employee may be dismissed with one week&apos;s notice. However, it may be extended beyond 4 months only with the leave in writing of the Labour Commissioner.<br/><br/>•Art. 8(3) of the Codes of Good Practice (not binding) provides that the probationary period should be of a reasonable length, usually three and sometimes up to four months, having regard to factors such as the nature of the job, the standards required, etc. The period may be extended by agreement.<br/>   The Labour Commissioner may grant extension of the probationary period if: <br/>(a) If the Commissioner is satisfied that the nature of the job requires a longer period of assessment to determine the suitability of the employee on probation; <br/>(b) If it is the custom and practice in the industry that a longer period of probation is required for the job; <br/>(c) If the Commissioner is satisfied that the employer requires a longer period of probation in order to assess the employee (Art. 8(7)).<br/>",4.0 month(s)
Europe,Luxembourg,2019,,"Art. L 121-5 LC: the trial period should not exceed 6 months. <br/>One exception however:  when the starting gross salary reaches a certain level to be determined by decree, the notice period is 12 months.<br/>______________<br/>Art. L. 121-5 du Code du Travail:<br/>(1) Sans préjudice des dispositions de l’article L. 122-8, alinéa 2, le contrat de travail conclu pour une durée indéterminée peut prévoir une clause d’essai. (...)<br/>(2) La période d’essai convenue entre parties ne peut être <b>inférieure à deux semaines, ni supérieure à six mois</b>.<br/>Par dérogation aux dispositions de l’alinéa qui précède, la période maximale d’essai ne peut excéder: trois mois pour le salarié dont le niveau de formation professionnelle n’atteint pas celui du certificat d’aptitude technique et professionnelle de l’enseignement secondaire technique; douze mois pour le salarié dont le salaire mensuel brut de début atteint un niveau déterminé par voie de règlement grand-ducal.",6.0 month(s)
Africa,Morocco,2019,,"The duration of the probationary period is governed by Art. 14 LC as follows:<br/>- Contract of indefinite duration:<br/>* 3 months for executives and similar positions<br/>* 1,5 months for white collars<br/>* 15 days for blue collars<br/>This trial period can be renewed once (i.e. the maximum is twice 3 months: 6 months)<br/><br/>- Fixed-term contract:<br/>* Max. 2 weeks for contract concluded for less than 6 months<br/>* Max. 1 month for contracts concluded for more than 6 months",6.0 month(s)
Europe,"Moldova, Republic of",2017,,Art. 60 (1) LC.<br/>- A probation period can be established for about 3 months.<br/>- For managers: up to 6 months.<br/>- For unqualified workers: max. 30 days.<br/><br/>*Specific rules applicable to FTC: art. 61 LC<br/>- 15 days max. for a contract concluded for a duration of 3 to 6 months.<br/>- 30 days max. for a contract concluded for a duration of more than 6 months.,6.0 month(s)
Europe,Montenegro,2020,,"Art. 34 of New Labour Act provides that probationan periods may last 6 months, expect for a crew member of the long-distance merchant navy, which may last longer, ie until the return of the ship to the home port. (Paragraph 2).",6.0 month(s)
Africa,Madagascar,2019,,"Art. 36 LC: Maximum 6 months renewable once.<br/>See also, the Decree No 2007-008, Arts. 3, 4 and 5: <br/>The duration of the probationary period varies according to the workers&apos; category (5 categories in total) as follows: <br/>- 3 months for skilled and unskilled blue-collar workers  and white-collar workers who do not have managerial responsibilities  (cat. 1,2, 3);<br/>- 4 months for engineers, employees with supervisory or managerial functions (cat. 4); and<br/>- 6 months for high-ranking executives (cat. 5).<br/>The probationary period can be renewed once.<br/>",12.0 month(s)
Europe,North Macedonia,2017,,"Art. 60 LRA: the probationary period can not be longer than 6 months. It can only be extended in the cases of justified absence from work (eg. illness, etc).",6.0 month(s)
Asia,Mongolia,2017,,Section 23.2.3. LC was amended by Law of 21 April 2017,3.0 month(s)
Africa,Malawi,2019,,Art. 26 (1) EA: a probationary period may be included in a contract of employment in respect of a skilled worker provided it does not exceed 12 months.,12.0 month(s)
Americas,Mexico,2019,,"•Article 39-A establishes that: In contracts for an undetermined period of time and those exceeding 180 days, a probationary period of no more than 30 days can be established, with the sole aim of verifying that the employee meets the requirements and knowledge demanded for the vacancy.<br/><br/>The probationary period set in the previous paragraph, can extend to 180 days, only for the recruitment of directing and managing posts, or other persons exercising directing or management functions in the enterprise or business, or to perform technical or specialized tasks. […]<br/>This modality has to be agreed in writing, otherwise the employment relationship will be considered permanent (Art. 39-C).<br/><br/>There is an additional modality to the contract/employment relationship included in Art. 39-B for initial training. The maximum duration is of 3 months. For directing and management posts or specialized post this period could be extended up to 6 months. This modality has to be agreed in writing, otherwise the employment relationship will be considered permanent (Art. 39-C).",6.0 month(s)
Asia,Malaysia,2018,Y,"No reference to probationary period in the legislation.<br/>In practice, employees on probation enjoy the same rights as a permanent employee and they cannot be terminated without just cause.",nan nan
Africa,Mozambique,2019,,"Article 47 provides that probationary period can be concluded for:<br/>(1) The employment contract for an indefinite period may be subject to a probationary period that will not exceed:<br/>a) 90 days for workers not provided for in the following paragraph;<br/>b) 180 days for mid-level and higher level technicians and workers who carry out management duties.<br/>(2) The fixed-term employment contract may be subject to a probationary period that will not exceed:<br/>a) 90 days in fixed-term contracts lasting more than one year, reducing this period to 30<br/>days in contracts with a term between 6 months and 1 year;<br/>b) 15 days in fixed-term contracts lasting up to 6 months;<br/>c) 15 days in uncertain term contracts when their duration is expected to be equal to or greater than 90 days.<br/>",180.0 day(s)
Africa,Namibia,2019,Y,There is no reference to probationary period in the LA.,nan nan
Africa,Niger,2019,,"Art. 52 of the Labour Code (LC):<br/>The probationary period is optional. It must be established in writing and cannot be concluded or renewed for a period longer than the time required to test the worker&apos;s skills, given the technology and practice of the profession. The maximum duration of trial period and its renewal is set by collective agreements, or in their absence, by Ministerial orders.<br/>The maximum probationary period for permanent contracts cannot exceed 6 months, including renewals. It is is extended to one year for workers hired outside of Niger.<br/><br/>For fixed-term contracts (FTCs): Article 60 LC provides that FTCs may include a probationary period (not mandatory). The duration of probationary periods for FTCs cannot exceed one month. Renewed FTCs cannot include any probation.<br/> <br/>The 1972 Inter-occupational Collective Agreement in appendix No 1. establishes the duration of the probationary period according to the worker&apos;s category:<br/>- 8 days for hourly, daily or weekly paid workers;<br/>- 1 month for monthly paid workers;<br/>- 1 to 3 months for first-line supervisors (&quot;agent de maîtrise&quot;) and technicians;<br/>- 3 months for engineers, and executives<br/>- 6 months for senior executives.",6.0 month(s)
Africa,Nigeria,2020,Y,"There is no maximum statutory probationary period. <br/>The LA requires the employer to give his/her employees a written statement specifying the term of employment within 3 months form the beginning of a worker&apos;s period of employment (sec. 7(1) LA).<br/>Note that since the LA does not exclude probationary employees from its ambit, the statutory notice periods (see below) also apply to probationary employees.",nan nan
Americas,Nicaragua,2019,,"Article 28 of Labour Code provides that in indefinite term contracts, the parties may agree to a trial period of no more than thirty days during which any of them may terminate the employment relationship without any liability to them.",30.0 day(s)
Europe,Netherlands,2019,,"Art. 7:652 (3), (4) and (5) CC. <br/>Probationary period shall be, as a maximum, 2 months when the contract is of indefinite duration or concluded for more than 2 years, and 1 month if the employment contract is concluded for less than 2 years but more than 6 months. If the contract is concluded for less than 6 months no probationary period is possible.<br/>",2.0 month(s)
Europe,Norway,2019,,"Art. 15-6 (3) of the Working Environment Act sets out the trial period may be agreed for up to 6 months. However, this may be extended in two cases:  <br/>1. If an employee has been absent from work during the trial period, the employer may extend the agreed trial period by a period corresponding to the period of absence. Such extension may only take place when the employee has been informed of this possibility in writing at the time of his appointment and when the employer has informed the employee of the extension in writing prior to expiry of the trial period. The right to extend the trial period shall not apply to absences caused by the employer. <br/>2. The Ministry may issue regulations permitting agreement on a trial period longer than six months in the case of certain groups of employees (Art. 15-6 (4) and Art. 15-6(5) of the WEA).<br/><br/>During the probationary period, employee can only be dismissed on the grounds of the employee&apos;s lack of suitability for the work, or lack of proficiency or reliability (Art. 15-6(1) WEA). In the case of termination of employment under a trial period a 14 days&apos; notice is required (art. 15-3(7) WEA).",6.0 month(s)
