Region,Country,Year,Tenure >=,Category (Severance pay / Redundancy pay),General remarks,Severance pay amount in time
Asia,Afghanistan,2019,6 months,Severance pay,"There is no general right to severance pay upon termination of employment except when such termination is based on the following reasons:<br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing,<br/>- criminal conviction which hinders the continuation of the work,<br/>- employee&apos;s refusal to be re-assigned to his/her previous position.<br/>Thus, employees who have been dismissed for other reasons (i.e conduct or capacity based reasons) are not entitled to severance pay.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear if it also applies to 6 and 9 months, this needs to be checked upon proper translation of the original text] ;<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary (art. 25(3) LC)",0.0 month(s)
Asia,Afghanistan,2019,9 months,Severance pay,"There is no general right to severance pay upon termination of employment except when such termination is based on the following reasons:<br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing,<br/>- criminal conviction which hinders the continuation of the work,<br/>- employee&apos;s refusal to be re-assigned to his/her previous position.<br/>Thus, employees who have been dismissed for other reasons (i.e conduct or capacity based reasons) are not entitled to severance pay.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear if it also applies to 6 and 9 months, this needs to be checked upon proper translation of the original text] ;<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary (art. 25(3) LC)",0.0 month(s)
Asia,Afghanistan,2019,1 year,Severance pay,"There is no general right to severance pay upon termination of employment except when such termination is based on the following reasons:<br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing,<br/>- criminal conviction which hinders the continuation of the work,<br/>- employee&apos;s refusal to be re-assigned to his/her previous position.<br/>Thus, employees who have been dismissed for other reasons (i.e conduct or capacity based reasons) are not entitled to severance pay.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear if it also applies to 6 and 9 months, this needs to be checked upon proper translation of the original text] ;<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary (art. 25(3) LC)",21.0 day(s)
Asia,Afghanistan,2019,2 years,Severance pay,"There is no general right to severance pay upon termination of employment except when such termination is based on the following reasons:<br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing,<br/>- criminal conviction which hinders the continuation of the work,<br/>- employee&apos;s refusal to be re-assigned to his/her previous position.<br/>Thus, employees who have been dismissed for other reasons (i.e conduct or capacity based reasons) are not entitled to severance pay.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear if it also applies to 6 and 9 months, this needs to be checked upon proper translation of the original text] ;<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary (art. 25(3) LC)",42.0 day(s)
Asia,Afghanistan,2019,4 years,Severance pay,"There is no general right to severance pay upon termination of employment except when such termination is based on the following reasons:<br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing,<br/>- criminal conviction which hinders the continuation of the work,<br/>- employee&apos;s refusal to be re-assigned to his/her previous position.<br/>Thus, employees who have been dismissed for other reasons (i.e conduct or capacity based reasons) are not entitled to severance pay.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear if it also applies to 6 and 9 months, this needs to be checked upon proper translation of the original text] ;<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary (art. 25(3) LC)",84.0 day(s)
Asia,Afghanistan,2019,5 years,Severance pay,"There is no general right to severance pay upon termination of employment except when such termination is based on the following reasons:<br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing,<br/>- criminal conviction which hinders the continuation of the work,<br/>- employee&apos;s refusal to be re-assigned to his/her previous position.<br/>Thus, employees who have been dismissed for other reasons (i.e conduct or capacity based reasons) are not entitled to severance pay.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear if it also applies to 6 and 9 months, this needs to be checked upon proper translation of the original text] ;<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary (art. 25(3) LC)",105.0 day(s)
Asia,Afghanistan,2019,10 years,Severance pay,"There is no general right to severance pay upon termination of employment except when such termination is based on the following reasons:<br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing,<br/>- criminal conviction which hinders the continuation of the work,<br/>- employee&apos;s refusal to be re-assigned to his/her previous position.<br/>Thus, employees who have been dismissed for other reasons (i.e conduct or capacity based reasons) are not entitled to severance pay.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear if it also applies to 6 and 9 months, this needs to be checked upon proper translation of the original text] ;<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary (art. 25(3) LC)",255.0 day(s)
Asia,Afghanistan,2019,20 years,Severance pay,"There is no general right to severance pay upon termination of employment except when such termination is based on the following reasons:<br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing,<br/>- criminal conviction which hinders the continuation of the work,<br/>- employee&apos;s refusal to be re-assigned to his/her previous position.<br/>Thus, employees who have been dismissed for other reasons (i.e conduct or capacity based reasons) are not entitled to severance pay.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear if it also applies to 6 and 9 months, this needs to be checked upon proper translation of the original text] ;<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary (art. 25(3) LC)",555.0 day(s)
Asia,Afghanistan,2019,6 months,Redundancy pay,"See remarks under severance pay.<br/>Art. 25(3) LC provides for termination payment upon termination for economic reasons, namely <br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear whether this applies to 6 and 9 months, this need to be checked upon proper translation of the original text];<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary<br/>",0.0 month(s)
Asia,Afghanistan,2019,9 months,Redundancy pay,"See remarks under severance pay.<br/>Art. 25(3) LC provides for termination payment upon termination for economic reasons, namely <br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear whether this applies to 6 and 9 months, this need to be checked upon proper translation of the original text];<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary<br/>",0.0 month(s)
Asia,Afghanistan,2019,1 year,Redundancy pay,"See remarks under severance pay.<br/>Art. 25(3) LC provides for termination payment upon termination for economic reasons, namely <br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear whether this applies to 6 and 9 months, this need to be checked upon proper translation of the original text];<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary<br/>",21.0 day(s)
Asia,Afghanistan,2019,2 years,Redundancy pay,"See remarks under severance pay.<br/>Art. 25(3) LC provides for termination payment upon termination for economic reasons, namely <br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear whether this applies to 6 and 9 months, this need to be checked upon proper translation of the original text];<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary<br/>",42.0 day(s)
Asia,Afghanistan,2019,4 years,Redundancy pay,"See remarks under severance pay.<br/>Art. 25(3) LC provides for termination payment upon termination for economic reasons, namely <br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear whether this applies to 6 and 9 months, this need to be checked upon proper translation of the original text];<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary<br/>",84.0 day(s)
Asia,Afghanistan,2019,5 years,Redundancy pay,"See remarks under severance pay.<br/>Art. 25(3) LC provides for termination payment upon termination for economic reasons, namely <br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear whether this applies to 6 and 9 months, this need to be checked upon proper translation of the original text];<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary<br/>",105.0 day(s)
Asia,Afghanistan,2019,10 years,Redundancy pay,"See remarks under severance pay.<br/>Art. 25(3) LC provides for termination payment upon termination for economic reasons, namely <br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear whether this applies to 6 and 9 months, this need to be checked upon proper translation of the original text];<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary<br/>",255.0 day(s)
Asia,Afghanistan,2019,20 years,Redundancy pay,"See remarks under severance pay.<br/>Art. 25(3) LC provides for termination payment upon termination for economic reasons, namely <br/>- cessation of activities for more than 6 months,<br/>- dissolution of the employer&apos;s business or downsizing.<br/>The amounts to be paid vary according to the length of service, as follow:<br/>- if the length of service is 1 year: one month&apos; salary [not clear whether this applies to 6 and 9 months, this need to be checked upon proper translation of the original text];<br/>- from 1 up to 5 years of service: 2 months&apos; salary;<br/>- from 5 up to 10 years of service: 4 months&apos; salary;<br/>- more than 10 years of service: 6 months&apos; salary<br/>",555.0 day(s)
Americas,Antigua and Barbuda,2018,6 months,Severance pay,No severance pay upon dismissal for reasons other than redundancy (sec. C40 LC),0.0 month(s)
Americas,Antigua and Barbuda,2018,9 months,Severance pay,No severance pay upon dismissal for reasons other than redundancy (sec. C40 LC),0.0 month(s)
Americas,Antigua and Barbuda,2018,1 year,Severance pay,No severance pay upon dismissal for reasons other than redundancy (sec. C40 LC),0.0 month(s)
Americas,Antigua and Barbuda,2018,2 years,Severance pay,No severance pay upon dismissal for reasons other than redundancy (sec. C40 LC),0.0 month(s)
Americas,Antigua and Barbuda,2018,4 years,Severance pay,No severance pay upon dismissal for reasons other than redundancy (sec. C40 LC),0.0 month(s)
Americas,Antigua and Barbuda,2018,5 years,Severance pay,No severance pay upon dismissal for reasons other than redundancy (sec. C40 LC),0.0 month(s)
Americas,Antigua and Barbuda,2018,10 years,Severance pay,No severance pay upon dismissal for reasons other than redundancy (sec. C40 LC),0.0 month(s)
Americas,Antigua and Barbuda,2018,20 years,Severance pay,No severance pay upon dismissal for reasons other than redundancy (sec. C40 LC),0.0 month(s)
Americas,Antigua and Barbuda,2018,6 months,Redundancy pay,"See sec. C40 and 41 LC: provided that an employee has served at least one year with his or her present and predecessor employers, he or she will be entitled redundancy pay at a rate of at least one day&apos;s pay, at the employee&apos;s latest basic wage, for each month or major fraction thereof of his term of employment with his employer and any predecessor employer.",1.0 month(s)
Americas,Antigua and Barbuda,2018,9 months,Redundancy pay,"See sec. C40 and 41 LC: provided that an employee has served at least one year with his or her present and predecessor employers, he or she will be entitled redundancy pay at a rate of at least one day&apos;s pay, at the employee&apos;s latest basic wage, for each month or major fraction thereof of his term of employment with his employer and any predecessor employer.",1.0 month(s)
Americas,Antigua and Barbuda,2018,1 year,Redundancy pay,"See sec. C40 and 41 LC: provided that an employee has served at least one year with his or her present and predecessor employers, he or she will be entitled redundancy pay at a rate of at least one day&apos;s pay, at the employee&apos;s latest basic wage, for each month or major fraction thereof of his term of employment with his employer and any predecessor employer.",2.0 month(s)
Americas,Antigua and Barbuda,2018,2 years,Redundancy pay,"See sec. C40 and 41 LC: provided that an employee has served at least one year with his or her present and predecessor employers, he or she will be entitled redundancy pay at a rate of at least one day&apos;s pay, at the employee&apos;s latest basic wage, for each month or major fraction thereof of his term of employment with his employer and any predecessor employer.",2.0 month(s)
Americas,Antigua and Barbuda,2018,4 years,Redundancy pay,"See sec. C40 and 41 LC: provided that an employee has served at least one year with his or her present and predecessor employers, he or she will be entitled redundancy pay at a rate of at least one day&apos;s pay, at the employee&apos;s latest basic wage, for each month or major fraction thereof of his term of employment with his employer and any predecessor employer.",2.0 month(s)
Americas,Antigua and Barbuda,2018,5 years,Redundancy pay,"See sec. C40 and 41 LC: provided that an employee has served at least one year with his or her present and predecessor employers, he or she will be entitled redundancy pay at a rate of at least one day&apos;s pay, at the employee&apos;s latest basic wage, for each month or major fraction thereof of his term of employment with his employer and any predecessor employer.",4.0 month(s)
Americas,Antigua and Barbuda,2018,10 years,Redundancy pay,"See sec. C40 and 41 LC: provided that an employee has served at least one year with his or her present and predecessor employers, he or she will be entitled redundancy pay at a rate of at least one day&apos;s pay, at the employee&apos;s latest basic wage, for each month or major fraction thereof of his term of employment with his employer and any predecessor employer.",6.0 month(s)
Americas,Antigua and Barbuda,2018,20 years,Redundancy pay,"See sec. C40 and 41 LC: provided that an employee has served at least one year with his or her present and predecessor employers, he or she will be entitled redundancy pay at a rate of at least one day&apos;s pay, at the employee&apos;s latest basic wage, for each month or major fraction thereof of his term of employment with his employer and any predecessor employer.",6.0 month(s)
Europe,Armenia,2018,6 months,Severance pay,Art. 129 LC<br/><br/>,0.0 month(s)
Europe,Armenia,2018,9 months,Severance pay,Art. 129 LC<br/><br/>,0.0 month(s)
Europe,Armenia,2018,1 year,Severance pay,Art. 129 LC<br/><br/>,0.0 month(s)
Europe,Armenia,2018,2 years,Severance pay,Art. 129 LC<br/><br/>,0.0 month(s)
Europe,Armenia,2018,4 years,Severance pay,Art. 129 LC<br/><br/>,0.0 month(s)
Europe,Armenia,2018,5 years,Severance pay,Art. 129 LC<br/><br/>,0.0 month(s)
Europe,Armenia,2018,10 years,Severance pay,Art. 129 LC<br/><br/>,0.0 month(s)
Europe,Armenia,2018,20 years,Severance pay,Art. 129 LC<br/><br/>,0.0 month(s)
Europe,Armenia,2018,6 months,Redundancy pay,Art. 129 LC,1.0 month(s)
Europe,Armenia,2018,9 months,Redundancy pay,Art. 129 LC,1.0 month(s)
Europe,Armenia,2018,1 year,Redundancy pay,Art. 129 LC,2.0 month(s)
Europe,Armenia,2018,2 years,Redundancy pay,Art. 129 LC,2.0 month(s)
Europe,Armenia,2018,4 years,Redundancy pay,Art. 129 LC,2.0 month(s)
Europe,Armenia,2018,5 years,Redundancy pay,Art. 129 LC,4.0 month(s)
Europe,Armenia,2018,10 years,Redundancy pay,Art. 129 LC,6.0 month(s)
Europe,Armenia,2018,20 years,Redundancy pay,Art. 129 LC,6.0 month(s)
Africa,Angola,2019,6 months,Severance pay,No severance pay following a disciplinary dismissal.<br/>However workers dismissed by way of individual or collective economic dismissal are entitled to redundancy pay (see below).,0.0 month(s)
Africa,Angola,2019,9 months,Severance pay,No severance pay following a disciplinary dismissal.<br/>However workers dismissed by way of individual or collective economic dismissal are entitled to redundancy pay (see below).,0.0 month(s)
Africa,Angola,2019,1 year,Severance pay,No severance pay following a disciplinary dismissal.<br/>However workers dismissed by way of individual or collective economic dismissal are entitled to redundancy pay (see below).,21.0 day(s)
Africa,Angola,2019,2 years,Severance pay,No severance pay following a disciplinary dismissal.<br/>However workers dismissed by way of individual or collective economic dismissal are entitled to redundancy pay (see below).,42.0 day(s)
Africa,Angola,2019,4 years,Severance pay,No severance pay following a disciplinary dismissal.<br/>However workers dismissed by way of individual or collective economic dismissal are entitled to redundancy pay (see below).,84.0 day(s)
Africa,Angola,2019,5 years,Severance pay,No severance pay following a disciplinary dismissal.<br/>However workers dismissed by way of individual or collective economic dismissal are entitled to redundancy pay (see below).,105.0 day(s)
Africa,Angola,2019,10 years,Severance pay,No severance pay following a disciplinary dismissal.<br/>However workers dismissed by way of individual or collective economic dismissal are entitled to redundancy pay (see below).,255.0 day(s)
Africa,Angola,2019,20 years,Severance pay,No severance pay following a disciplinary dismissal.<br/>However workers dismissed by way of individual or collective economic dismissal are entitled to redundancy pay (see below).,555.0 day(s)
Africa,Angola,2019,6 months,Redundancy pay,"-Arts. 236 GLA: In case of dismissal for reasons relating to the employer (= economic, technological and structural reasons), the worker is entitled to a redundancy payment calculated as follows: <br/>oBig companies: one month&apos;s base salary for each year of service, within the limit of 5 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 5 years of service. <br/>oMedium companies: one month’s base salary for each year of service, within the limit of 3 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 3 years of service.<br/>oSmall companies: two month’s base salaries, this sum being complemented by the 30% of the same monthly wage for each year of service exceeding two years.<br/>oMicro companies: two month’s base salaries, this sum being complemented by the 20% of the base salary for each year of service exceeding two years. <br/>Both workers dismissed by way of collective dismissal and workers dismissed by way of individual economic dismissal are entitled to the above-mentioned redundancy. Payment.<br/>",0.0 month(s)
Africa,Angola,2019,9 months,Redundancy pay,"-Arts. 236 GLA: In case of dismissal for reasons relating to the employer (= economic, technological and structural reasons), the worker is entitled to a redundancy payment calculated as follows: <br/>oBig companies: one month&apos;s base salary for each year of service, within the limit of 5 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 5 years of service. <br/>oMedium companies: one month’s base salary for each year of service, within the limit of 3 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 3 years of service.<br/>oSmall companies: two month’s base salaries, this sum being complemented by the 30% of the same monthly wage for each year of service exceeding two years.<br/>oMicro companies: two month’s base salaries, this sum being complemented by the 20% of the base salary for each year of service exceeding two years. <br/>Both workers dismissed by way of collective dismissal and workers dismissed by way of individual economic dismissal are entitled to the above-mentioned redundancy. Payment.<br/>",0.0 month(s)
Africa,Angola,2019,1 year,Redundancy pay,"-Arts. 236 GLA: In case of dismissal for reasons relating to the employer (= economic, technological and structural reasons), the worker is entitled to a redundancy payment calculated as follows: <br/>oBig companies: one month&apos;s base salary for each year of service, within the limit of 5 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 5 years of service. <br/>oMedium companies: one month’s base salary for each year of service, within the limit of 3 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 3 years of service.<br/>oSmall companies: two month’s base salaries, this sum being complemented by the 30% of the same monthly wage for each year of service exceeding two years.<br/>oMicro companies: two month’s base salaries, this sum being complemented by the 20% of the base salary for each year of service exceeding two years. <br/>Both workers dismissed by way of collective dismissal and workers dismissed by way of individual economic dismissal are entitled to the above-mentioned redundancy. Payment.<br/>",21.0 day(s)
Africa,Angola,2019,2 years,Redundancy pay,"-Arts. 236 GLA: In case of dismissal for reasons relating to the employer (= economic, technological and structural reasons), the worker is entitled to a redundancy payment calculated as follows: <br/>oBig companies: one month&apos;s base salary for each year of service, within the limit of 5 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 5 years of service. <br/>oMedium companies: one month’s base salary for each year of service, within the limit of 3 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 3 years of service.<br/>oSmall companies: two month’s base salaries, this sum being complemented by the 30% of the same monthly wage for each year of service exceeding two years.<br/>oMicro companies: two month’s base salaries, this sum being complemented by the 20% of the base salary for each year of service exceeding two years. <br/>Both workers dismissed by way of collective dismissal and workers dismissed by way of individual economic dismissal are entitled to the above-mentioned redundancy. Payment.<br/>",42.0 day(s)
Africa,Angola,2019,4 years,Redundancy pay,"-Arts. 236 GLA: In case of dismissal for reasons relating to the employer (= economic, technological and structural reasons), the worker is entitled to a redundancy payment calculated as follows: <br/>oBig companies: one month&apos;s base salary for each year of service, within the limit of 5 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 5 years of service. <br/>oMedium companies: one month’s base salary for each year of service, within the limit of 3 years, this sum being complemented by 50% of the same monthly salary for each year of service exceeding 3 years of service.<br/>oSmall companies: two month’s base salaries, this sum being complemented by the 30% of the same monthly wage for each year of service exceeding two years.<br/>oMicro companies: two month’s base salaries, this sum being complemented by the 20% of the base salary for each year of service exceeding two years. <br/>Both workers dismissed by way of collective dismissal and workers dismissed by way of individual economic dismissal are entitled to the above-mentioned redundancy. Payment.<br/>",84.0 day(s)
