Region,Country,Year,"Workers categories excluded","Enterprises excluded","Collective agreements","Reforms under process","General remarks"
Africa,Egypt,2017,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,,"Note: The Egyptian Parliament is currently working on a reform of the Labour Law, which is set to be finished by the end of 2017, see at: https://dailynewsegypt.com/2017/05/01/new-proposed-labour-law-arouses-controversy/, and https://dailynewsegypt.com/2017/04/19/622420/",
Europe,Spain,2019,"civil/public servants, police, army, judiciary",20,,,
Africa,Ethiopia,2013,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,,,
Europe,Finland,2019,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,,,
Europe,France,2019,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,,,
Africa,Gabon,2019,"civil/public servants, agricultural workers, domestic workers",none,,,
Europe,"United Kingdom",2019,"agricultural workers",none,,"Ongoing discussions on the revision of several issues pertaining to termination of employment, in particular: <br/>- Employee Shareholder status is under review for abolition;<br/>- Introduction of a new &quot;employee-owner&quot; status: employees opting for this status would receive fully paid-up shares in exchange for less favourable employment rights. In particular they would be excluded from the right to claim unfair dismissal;<br/>- Rules on collective redundancies, including the length of the consultation period (see links provided under &quot;additional information&quot;).",
Europe,Georgia,2019,"civil/public servants, agricultural workers, domestic workers",none,,,
Africa,Ghana,2020,"civil/public servants, agricultural workers, domestic workers",none,,,
Europe,Greece,2019,"civil/public servants, agricultural workers, domestic workers",none,"National General Collective Employment Agreement (2006-2007) (in Greek only)<br/>",,"Although two other National General Collective Agreements (NGCA) have been concluded for 2008-2009, 2010-2012, 2012-2013, 2014, 2015, 2016 and 2017the National Collective Agreement 2006-2007 is included here because it contains a provision on severance pay for blue-collar workers which is still applicable to those workers.<br/>(See the NGCA 2008-2009, art. 17, 2012-2013, Art. 2, 2014, art. 3, 2015 art. 1, 2016 art. u201a1 and 2017, art. 1 that provides that all the provisions of previous National General Collective Agreements  which have not been repealed shall continue to apply)."
Americas,Guatemala,2019,"civil/public servants, agricultural workers, domestic workers",none,,,
Americas,Honduras,2019,"civil/public servants, agricultural workers, domestic workers",none,,,
Europe,Hungary,2019,"civil/public servants, agricultural workers, domestic workers",none,,,
Asia,Indonesia,2019,"civil/public servants, agricultural workers, domestic workers, police, army, managerial / executive positions",5,,,
Asia,India,2019,"civil/public servants, agricultural workers, domestic workers",none,,,
Asia,"Iran, Islamic Republic of",2010,"civil/public servants, agricultural workers, domestic workers, police, army, managerial / executive positions",5,,"In 2006-2010, draft amendments to the Labour Code have been under discussion in Iran.",
Europe,Italy,2019,"civil/public servants, agricultural workers, domestic workers, police, army, managerial / executive positions",5,,,
Americas,Jamaica,2019,"civil/public servants, agricultural workers, domestic workers, police, army, managerial / executive positions",5,,,
"Arab States",Jordan,2019,"civil/public servants, agricultural workers, domestic workers, police, army, managerial / executive positions",5,,,
Asia,Japan,2019,"civil/public servants, agricultural workers, domestic workers, police, army, managerial / executive positions",5,,,
Europe,Kyrgyzstan,2019,other,15,,,
Asia,Cambodia,2018,"civil/public servants, police, army, UN employees, diplomats",none,,,
Africa,Comoros,2019,none,none,,,
Asia,"Korea, Republic of",2019,other,15,,,
Europe,Kazakhstan,2019,"civil/public servants, agricultural workers, domestic workers, police, army, managerial / executive positions",5,,,
Americas,"Saint Lucia",2017,"civil/public servants, army, judiciary",none,,"The 2006 Labour Act did not enter into force until August 2012. In 2011, a modification of the adopted Labour Code, still not into force, was approved.",
Asia,"Sri Lanka",2019,"civil/public servants, police, army, judiciary",20,,,
Africa,Lesotho,2019,other,15,,,
Europe,Luxembourg,2019,other,15,,,
Africa,Morocco,2019,"employer&apos;s family members, civil/public servants, agricultural workers, domestic workers, managerial / executive positions, seafarers, teachers",none,,,
Europe,"Moldova, Republic of",2017,"army, judiciary",none,,,
Europe,Montenegro,2020,"army, judiciary",none,"General Collective Agreement, concluded on 19 December 2003, amended in 2011 (available only in Montenegrin). A General Collective Bargaining Agreement, harmonised with the New Labour Act, will be concluded within one year. Until then, the current General Collective Bargaining Agreement is to be applied, except for provisions dealing with labour relations, salary, compensations and other remunerations, termination of employment agreements and disciplinary procedures, and conditions of work of labour unions. Branch and employer bargaining agreements are still effective, except for provisions regulating the disciplinary procedure, which will not be applicable as of the day of enforcement of the new Labour Act. Those agreements are expected to be harmonised within one year, otherwise they will be considered out of force once this deadline for harmonisation expires.",,"This agreement was last revised in December 2011 to extend its period of application until 30 June 2012. A General Collective Bargaining Agreement, harmonised with the New Labour Act, will be concluded within one year.<br/>(amendment available at: http://www.sllistcg.me/PravniAktDetalji.aspx?tag={A82BD6BA-1872-4885-9FF2-FA01C8C9EB45})"
Africa,Madagascar,2019,other,15,,,
Europe,"North Macedonia",2017,other,15,,,
Asia,Mongolia,2017,"army, judiciary",none,,,
Africa,Malawi,2019,"army, judiciary",none,,,
Americas,Mexico,2019,"army, judiciary",none,,,
Asia,Malaysia,2018,"army, judiciary",none,,,
Africa,Mozambique,2019,"employer&apos;s family members, civil/public servants, agricultural workers, domestic workers, managerial / executive positions, seafarers, teachers",none,,"The proposal for the Revision of the Labour Act is being discussed in the National Assembly of Mozambique.",
Africa,Namibia,2019,"employer&apos;s family members, civil/public servants, agricultural workers, domestic workers, managerial / executive positions, seafarers, teachers",none,,,
Africa,Niger,2019,"employer&apos;s family members, civil/public servants, agricultural workers, domestic workers, managerial / executive positions, seafarers, teachers",none,"Inter-occupational Collective Agreement, 15 December 1972<br/>",,
Africa,Nigeria,2020,"employer&apos;s family members, civil/public servants, agricultural workers, domestic workers, managerial / executive positions, seafarers, teachers",none,"Collective agreements regulating redundancy exist in some economic sectors.",,
Americas,Nicaragua,2019,"employer&apos;s family members, civil/public servants, agricultural workers, domestic workers, managerial / executive positions, seafarers, teachers",none,,,
Europe,Netherlands,2019,"employer&apos;s family members, civil/public servants, agricultural workers, domestic workers, managerial / executive positions, seafarers, teachers",none,,,
Europe,Norway,2019,"employer&apos;s family members, civil/public servants, agricultural workers, domestic workers, managerial / executive positions, seafarers, teachers",none,,,
Asia,"New Zealand",2019,"employer&apos;s family members, civil/public servants, agricultural workers, domestic workers, managerial / executive positions, seafarers, teachers",none,,,
Americas,Panama,2019,"dockworkers, civil/public servants, police, army, seafarers, teachers",20,,,
Americas,Peru,2019,"dockworkers, civil/public servants, police, army, seafarers, teachers",20,,,
Asia,Philippines,2019,"dockworkers, civil/public servants, police, army, seafarers, teachers",20,,,
Europe,Poland,2019,"dockworkers, civil/public servants, police, army, seafarers, teachers",20,,,
Europe,Portugal,2019,"dockworkers, civil/public servants, police, army, seafarers, teachers",20,,,
Americas,Paraguay,2019,"dockworkers, civil/public servants, police, army, seafarers, teachers",20,,,
Europe,Romania,2019,"dockworkers, civil/public servants, police, army, seafarers, teachers",20,,,"With the Social Dialogue Act which entered into force on May 13, 2011 collective bargaining at the national level has been abolished. Therefore, there has not been any new National Collective Agreement after the 2007-2010 National Collective Agreement has expired at the end of 2010."
Europe,"Russian Federation",2019,"dockworkers, civil/public servants, police, army, seafarers, teachers",20,,,
Africa,Rwanda,2019,"dockworkers, civil/public servants, police, army, seafarers, teachers",20,,,
"Arab States","Saudi Arabia",2017,"civil/public servants, army, judiciary",none,,,
Europe,Sweden,2017,"civil/public servants, police, army, judiciary",20,,,
Asia,Singapore,2019,"civil/public servants, army, judiciary",none,,,
Europe,Slovenia,2019,"civil/public servants, army, judiciary",none,,,
Europe,Slovakia,2019,"civil/public servants, army, judiciary",none,,,
Africa,Senegal,2019,"civil/public servants, army, judiciary",none,"Inter-occupational Collective Agreement, 27 May 1982",,
Americas,"El Salvador",2019,"employer&apos;s family members, civil/public servants, managerial / executive positions, members of cooperatives, UN employees, diplomats",none,,"Decree No. 479 of November 6, 2019, which is pending publication in the Official Gazette.",
"Arab States","Syrian Arab Republic",2013,"civil/public servants, police, army, judiciary",20,,,
Asia,Thailand,2019,"civil/public servants, police, army, judiciary",20,,,
Europe,Tajikistan,2019,"civil/public servants, police, army, judiciary",20,,,
Europe,Turkmenistan,2019,"agricultural workers",none,,,
Africa,Tunisia,2019,"agricultural workers",none,"Framework Collective Agreement (FCA) concluded on 20 March 1973 as amended.<br/>_______________<br/>Convention Collective Cadre conclue le 20 mars 1973 (telle qu&apos;amendu00e9e)",,
Europe,Türkiye,2019,"agricultural workers",none,,,
Africa,"Tanzania, United Republic of",2019,"civil/public servants, police, army, judiciary",20,,,
Europe,Ukraine,2019,"agricultural workers",none,,"Since 2002, a draft Labour Code has been under discussion by tripartite social partners. New Labour Code draft was submitted to the Parliament in February 2020",
Africa,Uganda,2019,"agricultural workers",none,,,
Americas,"United States",2017,"agricultural workers",,,,
Americas,Uruguay,2019,"agricultural workers",,,,
Europe,Uzbekistan,2019,"agricultural workers",,,,
Americas,"Venezuela, Bolivarian Republic of",2019,"agricultural workers",,,,
Asia,"Viet Nam",2012,"civil/public servants, agricultural workers, domestic workers",none,,"A new Labour Code was adopted on June 18th, 2012. However, it entered into force on May 1st, 2013.<br/>",
"Arab States",Yemen,2013,"civil/public servants, agricultural workers, domestic workers",none,,"On-going reform",
Europe,Serbia,2019,"civil/public servants, police, army, judiciary",none,,"Ongoing discussions on the modernization of the Labour Law in order to reflect EU Law.",
Africa,"South Africa",2019,"civil/public servants, army, judiciary",none,,,
Africa,Zambia,2019,"civil/public servants, agricultural workers, domestic workers",none,,,
